Category: All categories

Region,пластик: (10/26/23 - 10/26/24)
Zaporiz'ka oblast,100
Kirovohrads'ka oblast,97
Dnipropetrovsk Oblast,95
Mykolaivs'ka oblast,93
Kharkiv Oblast,90
Poltavs'ka oblast,87
Kyivs'ka oblast,84
Cherkas'ka oblast,84
Zhytomyrs'ka oblast,83
Donetsk Oblast,83
Chernihivs'ka oblast,82
Chernivets'ka oblast,81
Kyiv city,80
Sums'ka oblast,80
Khersons'ka oblast,78
Vinnyts'ka oblast,75
Odessa Oblast,74
Crimea,72
Rivnens'ka oblast,70
Volyns'ka oblast,68
Ivano-Frankivs'ka oblast,68
Luhans'ka oblast,65
Khmel'nyts'ka oblast,64
Ternopil's'ka oblast,63
Sevastopol' city,62
Lviv Oblast,60
Zakarpats'ka oblast,60
