Category: All categories

Region,Global warming: (10/31/23 - 10/31/24)
Luhans'ka oblast,100
Crimea,89
Volyns'ka oblast,85
Zaporiz'ka oblast,85
Khersons'ka oblast,82
Sums'ka oblast,82
Zhytomyrs'ka oblast,82
Rivnens'ka oblast,80
Kharkiv Oblast,77
Dnipropetrovsk Oblast,74
Mykolaivs'ka oblast,72
Kirovohrads'ka oblast,71
Ternopil's'ka oblast,70
Donetsk Oblast,70
Chernihivs'ka oblast,69
Zakarpats'ka oblast,67
Khmel'nyts'ka oblast,66
Chernivets'ka oblast,66
Poltavs'ka oblast,64
Vinnyts'ka oblast,62
Ivano-Frankivs'ka oblast,61
Odessa Oblast,60
Cherkas'ka oblast,59
Lviv Oblast,57
Kyiv city,57
Kyivs'ka oblast,52
Sevastopol' city,41
