Категорія: Усі категорії

Регіон,Переробка: (12.11.23 – 12.11.24)
Черкаська область,100
Волинська область,90
Івано-Франківська область,89
Вінницька область,88
Рівненська область,86
Хмельницька область,80
Тернопільська область,79
Львівська область,77
Чернівецька область,77
Житомирська область,72
Закарпатська область,69
Полтавська область,68
Київська область,63
Сумська область,63
Кіровоградська область,62
Чернігівська область,59
місто Київ,55
Миколаївська область,45
Запорізька область,38
Одеська область,35
Дніпропетровська область,33
Харківська область,33
Донецька область,29
місто Севастополь,
Херсонська область,
Луганська область,
Крим,
