Категорія: Усі категорії

Регіон,екологія: (13.11.23 – 13.11.24)
Івано-Франківська область,100
Рівненська область,99
Вінницька область,92
Черкаська область,91
Закарпатська область,90
Волинська область,90
Житомирська область,90
Чернігівська область,89
Тернопільська область,88
Чернівецька область,83
Хмельницька область,83
Сумська область,82
Кіровоградська область,78
Миколаївська область,76
Харківська область,73
Львівська область,72
Полтавська область,70
Дніпропетровська область,70
Київська область,68
місто Київ,58
Одеська область,57
Запорізька область,55
Херсонська область,45
Донецька область,42
місто Севастополь,
Луганська область,
Крим,
