Категорія: Усі категорії

Регіон,озеленення: (11.11.23 – 11.11.24)
Івано-Франківська область,100
Рівненська область,93
Київська область,92
Хмельницька область,89
Львівська область,80
Волинська область,78
Вінницька область,73
Тернопільська область,73
Кіровоградська область,72
Черкаська область,70
місто Київ,67
Сумська область,61
Полтавська область,55
Закарпатська область,44
Житомирська область,41
Дніпропетровська область,40
Харківська область,40
Миколаївська область,35
Одеська область,27
Чернігівська область,3
Запорізька область,1
Крим,
Херсонська область,
місто Севастополь,
Донецька область,
Луганська область,
Чернівецька область,
