Category: All categories

Week,пластик: (Ukraine)
2023-10-22,84
2023-10-29,79
2023-11-05,74
2023-11-12,80
2023-11-19,74
2023-11-26,75
2023-12-03,74
2023-12-10,70
2023-12-17,74
2023-12-24,65
2023-12-31,71
2024-01-07,79
2024-01-14,70
2024-01-21,78
2024-01-28,80
2024-02-04,84
2024-02-11,82
2024-02-18,79
2024-02-25,86
2024-03-03,84
2024-03-10,88
2024-03-17,85
2024-03-24,89
2024-03-31,88
2024-04-07,97
2024-04-14,97
2024-04-21,100
2024-04-28,92
2024-05-05,93
2024-05-12,81
2024-05-19,87
2024-05-26,91
2024-06-02,88
2024-06-09,83
2024-06-16,90
2024-06-23,85
2024-06-30,82
2024-07-07,82
2024-07-14,88
2024-07-21,86
2024-07-28,94
2024-08-04,98
2024-08-11,97
2024-08-18,96
2024-08-25,97
2024-09-01,87
2024-09-08,88
2024-09-15,92
2024-09-22,89
2024-09-29,84
2024-10-06,84
2024-10-13,89
2024-10-20,88
