Category: All categories

Week,Global warming: (Ukraine)
2023-10-15,20
2023-10-22,21
2023-10-29,15
2023-11-05,21
2023-11-12,14
2023-11-19,17
2023-11-26,22
2023-12-03,22
2023-12-10,33
2023-12-17,36
2023-12-24,12
2023-12-31,0
2024-01-07,20
2024-01-14,18
2024-01-21,16
2024-01-28,28
2024-02-04,33
2024-02-11,36
2024-02-18,43
2024-02-25,58
2024-03-03,45
2024-03-10,56
2024-03-17,57
2024-03-24,35
2024-03-31,54
2024-04-07,63
2024-04-14,83
2024-04-21,96
2024-04-28,54
2024-05-05,51
2024-05-12,87
2024-05-19,100
2024-05-26,37
2024-06-02,18
2024-06-09,13
2024-06-16,11
2024-06-23,0
2024-06-30,10
2024-07-07,34
2024-07-14,41
2024-07-21,0
2024-07-28,12
2024-08-04,11
2024-08-11,0
2024-08-18,15
2024-08-25,0
2024-09-01,18
2024-09-08,23
2024-09-15,21
2024-09-22,27
2024-09-29,33
2024-10-06,41
2024-10-13,39
