Категорія: Усі категорії

Тиждень,Переробка: (Україна)
2023-11-12,47
2023-11-19,71
2023-11-26,60
2023-12-03,60
2023-12-10,56
2023-12-17,55
2023-12-24,40
2023-12-31,27
2024-01-07,40
2024-01-14,39
2024-01-21,50
2024-01-28,59
2024-02-04,55
2024-02-11,55
2024-02-18,58
2024-02-25,59
2024-03-03,67
2024-03-10,60
2024-03-17,67
2024-03-24,52
2024-03-31,58
2024-04-07,69
2024-04-14,65
2024-04-21,72
2024-04-28,77
2024-05-05,89
2024-05-12,100
2024-05-19,87
2024-05-26,63
2024-06-02,67
2024-06-09,50
2024-06-16,39
2024-06-23,51
2024-06-30,43
2024-07-07,29
2024-07-14,44
2024-07-21,48
2024-07-28,48
2024-08-04,42
2024-08-11,42
2024-08-18,36
2024-08-25,43
2024-09-01,44
2024-09-08,44
2024-09-15,62
2024-09-22,64
2024-09-29,50
2024-10-06,53
2024-10-13,68
2024-10-20,70
2024-10-27,52
2024-11-03,59
2024-11-10,61
